building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
2,10,5,3+1,135,Ataşehir,Küçükbakkalköy,190000,240000
11-15 arası,5,2,2+1,80,Beşiktaş,Nisbetiye,720000,900000
16-20 arası,10,3,2+1,90,Ataşehir,Atatürk,0,305000
6-10 arası,3,3,4+1,150,Bağcılar,Güneşli,300000,375000
11-15 arası,5,4,3+1,125,Esenler,Kazım Karabekir,0,170000
0,8,2,3+1,90,Kadıköy,Göztepe,205000,275000
6-10 arası,5,2,2+1,80,Kağıthane,Sultan Selim,180000,365000
0,5,Kot 1,2+1,110,Esenyurt,Mehmet Akif Ersoy,250000,350000
21-25 arası,6,5,3+1,180,Bahçelievler,Siyavuşpaşa,0,145000
0,8,7,3+1,120,Silivri,Yeni,300000,375000
2,4,3,3+1,148,Beylikdüzü,Yakuplu,0,105000
0,5,3,2+1,80,Ümraniye,Namık Kemal,45000,140000
6-10 arası,3,2,3+1,140,Küçükçekmece,Halkalı Merkez,0,130000
0,3,3,4+2,178,Bağcılar,Bağlar,0,185000
0,10,8,2+1,90,Çekmeköy,Cumhuriyet,265000,370000
4,5,3,3+1,137,Çatalca,Ferhatpaşa,135000,170000
16-20 arası,5,Yüksek Giriş,3+1,110,Avcılar,Cihangir,0,145000
21-25 arası,7,5,3+1,150,Kadıköy,Göztepe,415000,520000
1,6,3,3+1,140,Beylikdüzü,Barış,280000,350000
16-20 arası,6,Bahçe katı,2+1,95,Üsküdar,Bahçelievler,0,215000
0,3,Yüksek Giriş,2+1,100,Bağcılar,15 Temmuz,60000,105000
26-30 arası,4,Kot 3,3+1,115,Maltepe,Küçükyalı,60000,500000
4,5,3,3+1,137,Çatalca,Ferhatpaşa,0,125000
16-20 arası,5,Yüksek Giriş,3+1,110,Avcılar,Cihangir,210000,260000
0,4,1,2+1,90,Ümraniye,Yamanevler,75000,390000
0,10,8,2+1,100,Maltepe,Feyzullah,475000,475000
0,8,7,3+1,120,Silivri,Yeni,180000,180000
0,5,5,2+1,110,Pendik,Ahmet Yesevi,0,155000
26-30 arası,8,4,2+1,110,Kadıköy,Merdivenköy,205000,205000
0,3,2,2+1,80,Bağcılar,Güneşli,45000,105000
0,3,3,4+1,160,Bağcılar,15 Temmuz,0,185000
26-30 arası,4,2,2+1,100,Bahçelievler,Şirinevler,0,130000
6-10 arası,7,2,3+1,153,Silivri,Yeni,0,335000
0,3,Yüksek Giriş,2+1,100,Bahçelievler,Bahçelievler,0,380000
2,5,3,3+1,145,Beylikdüzü,Büyükşehir,0,100000
6-10 arası,5,3,3+1,115,Bahçelievler,Çobançeşme,0,150000
1,10,1,3+1,90,Tuzla,Aydınlı,25000,130000
5,6,6,4+2,190,Pendik,Fevzi Çakmak,425000,425000
0,2,2,3+1,120,Bağcılar,Güneşli,345000,485000
26-30 arası,5,5,3+1,130,Bahçelievler,Siyavuşpaşa,150000,160000
0,4,3,3+1,125,Çatalca,Ferhatpaşa,0,150000
0,3,3,4+1,170,Bağcılar,Kirazlı,310000,390000
1,4,1,3+1,140,Beylikdüzü,Gürpınar,0,140000
26-30 arası,8,4,2+1,110,Kadıköy,Merdivenköy,110000,140000
6-10 arası,3,3,3+1,120,Adalar,Maden,100000,190000
16-20 arası,5,Yüksek Giriş,3+1,145,Çekmeköy,Merkez,65000,215000
3,4,Kot 4,3+1,80,Sultanbeyli,Necip Fazıl,0,150000
26-30 arası,3,3,2+1,85,Fatih,Silivrikapı,0,115000
6-10 arası,3,3,4+1,150,Bağcılar,Güneşli,0,170000
6-10 arası,4,Kot 1,2+1,100,Büyükçekmece,Atatürk,150000,190000
4,4,1,2+1,100,Kağıthane,Hürriyet,15000,100000
0,3,3,4+2,178,Bağcılar,Bağlar,30000,450000
0,2,2,2+1,80,Maltepe,Fındıklı,0,155000
21-25 arası,5,1,2+1,80,Ataşehir,İçerenköy,105000,130000
1,10-20 arası,6,2+1,95,Bağcılar,Güneşli,250000,310000
11-15 arası,8,6,3+1,120,Pendik,Yenişehir,30000,115000
0,5,3,3+1,110,Beylikdüzü,Cumhuriyet,15000,100000
6-10 arası,4,3,3+2,160,Çekmeköy,Mehmet Akif,0,220000
2,5,5,2+2,130,Pendik,Orhangazi,0,115000
0,10-20 arası,1,3+1,90,Bağcılar,Göztepe,0,165000
16-20 arası,4,3,3+1,145,Üsküdar,Kandilli,670000,840000
0,5,5,4+2,165,Çekmeköy,Soğukpınar,0,150000
11-15 arası,5,4,3+1,140,Bağcılar,Kirazlı,295000,370000
16-20 arası,6,Müstakil,3+2,160,Sultangazi,75. Yıl,0,120000
21-25 arası,4,Yüksek Giriş,4+1,120,Avcılar,Denizköşkler,130000,130000
0,7,2,2+1,90,Çekmeköy,Güngören,0,145000
40 ve üzeri,4,1,2+1,85,Fatih,Silivrikapı,0,210000
0,5,5,2+1,130,Beyoğlu,Halıcıoğlu,140000,215000
11-15 arası,10-20 arası,7,3+1,170,Esenyurt,Hürriyet,130000,265000
16-20 arası,3,3,4+1,160,Fatih,Silivrikapı,145000,215000
16-20 arası,5,Yüksek Giriş,3+1,110,Avcılar,Cihangir,200000,250000
26-30 arası,5,5,3+1,150,Fatih,Sümbül Efendi,430000,540000
6-10 arası,4,3,3+2,160,Çekmeköy,Mehmet Akif,0,185000
0,2,Yüksek Giriş,3+1,150,Bahçelievler,Kocasinan Merkez,0,120000
3,5,Yüksek Giriş,3+1,110,Eyüpsultan,Göktürk Merkez,430000,540000
6-10 arası,3,Bahçe katı,3+1,140,Fatih,Şehremini,95000,155000
0,2,2,3+1,125,Esenyurt,Zafer,270000,270000
0,10-20 arası,1,2+1,80,Bağcılar,Kazım Karabekir,0,175000
0,5,5,3+2,140,Kartal,Orhantepe,0,160000
0,2,2,3+1,120,Bağcılar,Güneşli,475000,595000
36-40 arası,4,3,2+1,85,Fatih,Seyyid Ömer,340000,340000
3,4,4,3+2,180,Avcılar,Merkez,270000,340000
1,4,1,2+1,100,Beylikdüzü,Gürpınar,0,170000
6-10 arası,3,3,4+1,150,Bağcılar,Güneşli,160000,160000
31-35 arası,9,6,3+1,125,Kadıköy,Göztepe,0,310000
0,4,Yüksek Giriş,3+1,130,Küçükçekmece,Söğütlü Çeşme,140000,175000
5,4,1,2+1,85,Üsküdar,Ferah,75000,130000
0,5,Kot 1,2+1,110,Esenyurt,Mehmet Akif Ersoy,0,160000
6-10 arası,3,Çatı Katı,4+2,180,Eyüpsultan,Merkez,645000,805000
0,7,5,3+1,160,Beylikdüzü,Gürpınar,0,165000
1,10-20 arası,18,3+1,155,Başakşehir,Bahçeşehir 1. Kısım,0,285000
6-10 arası,9,5,3+1,135,Büyükçekmece,Sinanoba,0,125000
16-20 arası,3,3,4+1,160,Fatih,Silivrikapı,0,270000
0,8,8,2+1,85,Kadıköy,Merdivenköy,425000,220000
6-10 arası,5,2,3+1,150,Avcılar,Denizköşkler,65000,140000
0,5,3,2+1,110,Çatalca,Ferhatpaşa,220000,220000
6-10 arası,9,Yüksek Giriş,3+1,125,Pendik,Yenişehir,0,150000
5,3,3,3+1,125,Ümraniye,Çakmak,215000,270000
1,5,Kot 2,3+1,110,Çatalca,Ovayenice,165000,165000
0,3,1,2+1,95,Arnavutköy,Mavigöl,100000,115000
11-15 arası,4,Yüksek Giriş,3+1,130,Tuzla,Evliya Çelebi,145000,315000
16-20 arası,4,4,5+1,200,Zeytinburnu,Gökalp,235000,250000
1,20 ve üzeri,6,3+1,90,Ataşehir,Küçükbakkalköy,430000,540000
0,7,7,2+1,80,Pendik,Fevzi Çakmak,100000,125000
11-15 arası,5,Yüksek Giriş,2+1,145,Fatih,Hırka-i Şerif,0,435000
0,5,Bahçe katı,3+1,100,Bayrampaşa,İsmet Paşa,0,135000
2,5,4,3+1,135,Bahçelievler,Soğanlı,380000,525000
0,3,3,4+1,160,Bağcılar,Kirazlı,0,190000
26-30 arası,4,1,3+1,140,Fatih,Akşemsettin,260000,325000
0,10-20 arası,3,4+1,125,Kadıköy,Suadiye,0,750000
31-35 arası,6,6,3+1,100,Şişli,Ergenekon,0,165000
16-20 arası,6,2,3+1,120,Üsküdar,Bulgurlu,390000,390000
2,6,2,3+1,132,Beylikdüzü,Adnan Kahveci,0,125000
0,4,Bahçe katı,3+1,180,Üsküdar,Küçüksu,1180000,1180000
36-40 arası,4,4,3+1,95,Kadıköy,Eğitim,0,165000
11-15 arası,7,3,4+1,156,Başakşehir,Bahçeşehir 2. Kısım,325000,420000
4,10-20 arası,18,2+1,90,Gaziosmanpaşa,Yıldıztabya,0,220000
36-40 arası,4,2,2+1,85,Kadıköy,Eğitim,80000,135000
21-25 arası,5,3,3+1,140,Avcılar,Merkez,0,110000
3,5,1,3+1,130,Beylikdüzü,Adnan Kahveci,0,110000
4,5,5,3+2,170,Beylikdüzü,Gürpınar,0,165000
0,5,Yüksek Giriş,8+2,180,Esenyurt,Güzelyurt,90000,135000
1,5,Kot 1,3+1,150,Beylikdüzü,Yakuplu,0,110000
0,4,Çatı Katı,4+1,135,Üsküdar,Murat Reis,185000,290000
4,5,Bahçe katı,3+1,110,Büyükçekmece,Hürriyet,0,275000
6-10 arası,3,3,2+1,120,Beykoz,Kavacık,0,245000
0,3,2,2+1,90,Bağcılar,15 Temmuz,0,315000
0,3,3,4+1,160,Bağcılar,15 Temmuz,0,185000
0,3,3,4+1,170,Bağcılar,Kirazlı,150000,190000
0,5,Kot 2,2+1,84,Eyüpsultan,Merkez,130000,160000
16-20 arası,8,Kot 1,3+1,155,Büyükçekmece,Sinanoba,425000,530000
0,4,1,2+1,90,Ümraniye,Yamanevler,230000,290000
1,5,Kot 1,3+1,110,Esenyurt,Güzelyurt,80000,100000
6-10 arası,3,Kot 1,3+1,130,Avcılar,Denizköşkler,320000,400000
6-10 arası,5,Kot 3,2+1,80,Ataşehir,Küçükbakkalköy,350000,350000
16-20 arası,8,Kot 1,3+1,155,Büyükçekmece,Sinanoba,0,180000
0,4,Kot 4,4+1,190,Küçükçekmece,Yeni Mahalle,0,255000
0,3,Yüksek Giriş,2+1,100,Bahçelievler,Bahçelievler,475000,595000
0,9,7,3+1,150,Kadıköy,Göztepe,0,530000
6-10 arası,4,3,2+1,130,Esenyurt,Zafer,0,115000
1,10,5,4+1,171,Beylikdüzü,Marmara,25000,125000
0,10-20 arası,1,2+1,80,Bağcılar,Kazım Karabekir,440000,550000
2,6,2,3+1,132,Beylikdüzü,Adnan Kahveci,0,160000
0,3,1,2+1,110,Küçükçekmece,Sultan Murat,0,140000
2,5,Kot 1,3+1,140,Beylikdüzü,Kavaklı,90000,105000
31-35 arası,3,1,2+1,120,Fatih,Silivrikapı,35000,155000
0,3,Yüksek Giriş,2+1,100,Bağcılar,15 Temmuz,250000,250000
16-20 arası,6,3,3+1,140,Kadıköy,Göztepe,0,295000
16-20 arası,5,Bahçe katı,2+1,80,Ataşehir,Mustafa Kemal,40000,100000
21-25 arası,4,Kot 2,3+1,135,Avcılar,Merkez,250000,310000
6-10 arası,4,4,4+1,135,Ümraniye,Çamlık,0,165000
4,7,Kot 3,2+1,105,Esenyurt,Güzelyurt,0,185000
21-25 arası,4,3,3+1,115,Zeytinburnu,Gökalp,115000,160000
26-30 arası,5,3,2+1,82,Kadıköy,Göztepe,0,190000
6-10 arası,3,Çatı Katı,4+2,180,Eyüpsultan,Merkez,75000,285000
16-20 arası,6,4,3+1,135,Esenler,Nine Hatun,25000,340000
1,6,2,3+1,140,Beylikdüzü,Kavaklı,0,160000
0,3,3,4+2,183,Bağcılar,Hürriyet,445000,555000
0,5,Kot 3,4+2,170,Esenyurt,Barbaros Hayrettin Paşa,205000,205000
0,5,2,2+1,100,Maltepe,Küçükyalı,65000,150000
4,3,3,5+1,200,Silivri,Alibey,0,230000
0,3,2,2+1,80,Bağcılar,Güneşli,0,160000
21-25 arası,5,5,3+1,110,Güngören,Abdurrahman Nafiz Gürman,240000,240000
0,6,3,3+1,95,Sultanbeyli,Orhangazi,115000,145000
11-15 arası,9,6,3+1,125,Esenyurt,Gökevler,220000,275000
11-15 arası,4,Yüksek Giriş,3+1,130,Tuzla,Evliya Çelebi,75000,105000
1,4,3,3+1,105,Bahçelievler,Bahçelievler,0,565000
16-20 arası,6,2,2+1,95,Bakırköy,Sakızağacı,65000,160000
16-20 arası,10-20 arası,Kot 3,3+1,110,Esenyurt,Barbaros Hayrettin Paşa,260000,260000
1,10-20 arası,6,2+1,95,Bağcılar,Güneşli,0,220000
0,4,4,2+2,100,Çatalca,Ferhatpaşa,60000,100000
6-10 arası,20 ve üzeri,Kot 4,2+1,85,Sarıyer,Maslak,0,1100000
11-15 arası,5,Kot 3,2+1,80,Beyoğlu,Halıcıoğlu,245000,305000
4,7,Kot 3,2+1,105,Esenyurt,Güzelyurt,135000,185000
5,5,4,2+1,100,Avcılar,Cihangir,185000,230000
0,3,3,4+2,183,Bağcılar,Hürriyet,0,540000
0,5,Yüksek Giriş,3+1,100,Avcılar,Ambarlı,0,115000
0,5,Kot 3,3+1,120,Bahçelievler,Şirinevler,55000,135000
0,3,3,4+2,178,Bağcılar,Bağlar,270000,270000
16-20 arası,5,Yüksek Giriş,3+1,145,Çekmeköy,Merkez,0,225000
26-30 arası,3,2,3+1,120,Adalar,Nizam,85000,410000
21-25 arası,4,3,3+1,110,Adalar,Nizam,1005000,1005000
5,5,5,5+1,135,Ümraniye,İstiklal,0,255000
16-20 arası,10-20 arası,Kot 3,3+1,130,Beylikdüzü,Barış,345000,430000
21-25 arası,4,3,3+1,110,Adalar,Nizam,255000,395000
21-25 arası,3,Yüksek Giriş,3+1,85,Adalar,Maden,0,275000
26-30 arası,3,2,3+1,120,Adalar,Nizam,585000,730000
21-25 arası,3,Yüksek Giriş,3+1,85,Adalar,Maden,0,215000
0,20 ve üzeri,20 ve üzeri,2+1,89,Kartal,Yunus,315000,315000
1,20 ve üzeri,20 ve üzeri,3+1,117,Başakşehir,Kayabaşı,0,375000
1,20 ve üzeri,20 ve üzeri,3+1,140,Başakşehir,Kayabaşı,285000,315000
0,20 ve üzeri,20 ve üzeri,1+1,80,Kartal,Karlıktepe,445000,555000
1,20 ve üzeri,20 ve üzeri,3+1,145,Başakşehir,Kayabaşı,290000,360000
0,20 ve üzeri,20 ve üzeri,1+1,80,Kartal,Karlıktepe,0,220000
0,20 ve üzeri,20 ve üzeri,3+1,150,Başakşehir,Kayabaşı,900000,1125000
0,20 ve üzeri,20 ve üzeri,3+1,180,Başakşehir,Kayabaşı,375000,375000
0,9,4,3+1,105,Kadıköy,Göztepe,0,1100000
0,9,4,3+1,157,Sancaktepe,Veysel Karani,645000,700000
0,20 ve üzeri,20 ve üzeri,1+1,81,Sarıyer,Huzur,65000,260000
6-10 arası,20 ve üzeri,20 ve üzeri,3+1,150,Eyüpsultan,Güzeltepe,0,700000
6-10 arası,20 ve üzeri,20 ve üzeri,3+1,105,Ataşehir,Barbaros,210000,395000
1,20 ve üzeri,20 ve üzeri,2+1,90,Başakşehir,Kayabaşı,405000,405000
2,20 ve üzeri,20 ve üzeri,2+1,90,Başakşehir,Başakşehir,0,220000
2,20 ve üzeri,20 ve üzeri,2+1,90,Başakşehir,Başakşehir,505000,505000
1,20 ve üzeri,20 ve üzeri,2+1,94,Başakşehir,Kayabaşı,315000,395000
1,20 ve üzeri,20 ve üzeri,2+1,94,Başakşehir,Kayabaşı,125000,190000
4,20 ve üzeri,20 ve üzeri,1+1,129,Başakşehir,Başakşehir,0,150000
0,20 ve üzeri,20 ve üzeri,4+1,185,Kadıköy,Erenköy,425000,560000
1,20 ve üzeri,20 ve üzeri,2+1,105,Başakşehir,Kayabaşı,505000,735000
16-20 arası,10-20 arası,3,4+1,150,Kadıköy,Bostancı,365000,455000
3,20 ve üzeri,20 ve üzeri,3+1,126,Esenyurt,Yeşilkent,185000,230000
1,20 ve üzeri,20 ve üzeri,3+1,135,Başakşehir,Kayabaşı,0,385000
0,20 ve üzeri,20 ve üzeri,4+1,185,Kartal,Kordonboyu,0,595000
1,9,4,2+1,92,Başakşehir,Kayabaşı,0,165000
6-10 arası,20 ve üzeri,20 ve üzeri,3+1,105,Ataşehir,Barbaros,915000,1200000
0,20 ve üzeri,20 ve üzeri,1+1,81,Sarıyer,Huzur,140000,270000
1,20 ve üzeri,20 ve üzeri,3+1,170,Kadıköy,Eğitim,585000,730000
0,20 ve üzeri,20 ve üzeri,2+1,95,Başakşehir,Kayabaşı,445000,555000
0,10-20 arası,11,4+1,150,Kadıköy,Suadiye,0,495000
0,10-20 arası,13,3+2,150,Kadıköy,Bostancı,0,1065000
0,7,1,2+1,95,Beşiktaş,Dikilitaş,500000,500000
1,20 ve üzeri,20 ve üzeri,1+1,80,Sarıyer,Huzur,370000,800000
0,10-20 arası,10,3+1,88,Kadıköy,Bostancı,600000,600000
4,10-20 arası,11,3+1,137,Zeytinburnu,Sümer,685000,855000
2,20 ve üzeri,11,2+1,93,Başakşehir,Başakşehir,15000,180000
1,7,1,4+1,140,Başakşehir,Kayabaşı,435000,950000
2,20 ve üzeri,9,1+1,86,Sarıyer,Maslak,665000,785000
1,7,1,4+1,140,Başakşehir,Kayabaşı,0,445000
3,7,7,4+1,145,Kağıthane,Emniyet Evleri,0,870000
5,4,Bahçe katı,2+1,100,Küçükçekmece,Atakent,0,270000
1,6,9,3+1,120,Kadıköy,Caddebostan,525000,1450000
0,10,7,4+1,143,Kadıköy,Suadiye,195000,625000
0,10-20 arası,10,2+1,85,Maltepe,Altayçeşme,0,260000
0,5,Bahçe katı,4+1,140,Beylikdüzü,Cumhuriyet,0,120000
4,10-20 arası,Bahçe katı,2+1,90,Başakşehir,Bahçeşehir 1. Kısım,0,490000
21-25 arası,10,10,4+1,150,Kadıköy,Göztepe,0,400000
0,10,10,5+1,200,Kadıköy,Kozyatağı,645000,1100000
2,7,4,3+1,140,Kadıköy,Suadiye,560000,1550000
2,7,4,3+1,140,Kadıköy,Suadiye,0,510000
4,20 ve üzeri,3,4+1,182,Başakşehir,Ziya Gökalp,635000,795000
0,9,4,3+1,110,Pendik,Kurtköy,55000,770000
6-10 arası,10-20 arası,4,3+1,90,Kadıköy,Suadiye,515000,645000
2,7,4,3+1,140,Kadıköy,Suadiye,90000,1550000
0,10-20 arası,10,3+1,110,Kadıköy,Suadiye,280000,580000
0,10,7,4+1,143,Kadıköy,Suadiye,0,625000
0,8,8,3+2,200,Kadıköy,Kozyatağı,335000,420000
2,20 ve üzeri,3,2+1,118,Başakşehir,Başakşehir,0,225000
0,9,4,3+1,104,Kadıköy,Suadiye,665000,830000
0,9,4,2+1,120,Beylikdüzü,Barış,0,245000
1,7,1,4+1,185,Bahçelievler,Yenibosna Merkez,120000,325000
0,20 ve üzeri,10,3+1,155,Başakşehir,Kayabaşı,0,360000
0,10-20 arası,10,2+1,95,Avcılar,Mustafa Kemal Paşa,0,115000
0,10-20 arası,11,3+1,112,Kadıköy,Caddebostan,0,1350000
0,20 ve üzeri,10,3+1,155,Başakşehir,Kayabaşı,570000,985000
11-15 arası,10-20 arası,2,3+1,140,Beylikdüzü,Barış,0,150000
0,10-20 arası,2,2+1,87,Maltepe,Feyzullah,0,190000
0,10-20 arası,2,2+1,113,Başakşehir,Bahçeşehir 2. Kısım,345000,345000
0,20 ve üzeri,10,3+1,97,Kadıköy,Suadiye,0,405000
4,20 ve üzeri,4,2+1,123,Başakşehir,Ziya Gökalp,0,205000
2,10-20 arası,11,2+1,90,Esenyurt,Zafer,75000,115000
6-10 arası,7,4,2+1,80,Çekmeköy,Cumhuriyet,30000,110000
2,10-20 arası,9,3+1,160,Esenyurt,Zafer,0,200000
11-15 arası,10-20 arası,10,3+1,111,Esenler,Kemer,0,355000
3,10-20 arası,2,2+1,100,Başakşehir,Başakşehir,0,195000
4,10-20 arası,10,2+1,110,Zeytinburnu,Maltepe,165000,330000
1,10-20 arası,2,3+1,108,Kadıköy,Caddebostan,0,440000
0,10,10,5+1,200,Kadıköy,Erenköy,695000,695000
0,10-20 arası,11,2+1,80,Kadıköy,Bostancı,0,300000
3,10-20 arası,2,2+1,100,Başakşehir,Başakşehir,30000,145000
0,10-20 arası,10,3+1,90,Kadıköy,Bostancı,0,235000
4,10-20 arası,9,3+1,140,Başakşehir,Başakşehir,0,245000
4,10-20 arası,10,2+1,85,Çekmeköy,Nişantepe,155000,195000
0,20 ve üzeri,4,3+1,165,Başakşehir,Kayabaşı,445000,555000
0,10-20 arası,4,3+1,90,Kadıköy,Suadiye,185000,250000
2,10-20 arası,11,3+1,160,Esenyurt,Zafer,130000,165000
0,20 ve üzeri,10,3+1,155,Başakşehir,Kayabaşı,0,450000
4,10-20 arası,4,4+1,140,Başakşehir,Başakşehir,0,310000
3,5,Bahçe katı,4+1,165,Bahçelievler,Yenibosna Merkez,0,445000
1,10-20 arası,2,3+1,170,Başakşehir,Başakşehir,0,350000
2,10-20 arası,11,3+1,125,Esenyurt,Zafer,0,450000
6-10 arası,10-20 arası,2,3+1,112,Başakşehir,Kayabaşı,0,215000
0,10-20 arası,13,4+2,135,Ümraniye,Armağanevler,410000,500000
6-10 arası,10-20 arası,10,2+1,100,Zeytinburnu,Seyitnizam,345000,345000
0,10-20 arası,5,4+1,180,Başakşehir,Bahçeşehir 1. Kısım,0,165000
1,10-20 arası,2,2+1,110,Başakşehir,Başakşehir,455000,630000
0,10-20 arası,2,3+1,95,Kadıköy,Suadiye,135000,320000
0,10-20 arası,2,3+1,105,Maltepe,Altayçeşme,345000,795000
3,10-20 arası,2,2+1,100,Gaziosmanpaşa,Karadeniz,100000,210000
0,20 ve üzeri,10,2+1,100,Başakşehir,Kayabaşı,75000,255000
1,10-20 arası,2,3+1,125,Başakşehir,Başakşehir,0,350000
0,10-20 arası,2,3+1,95,Kadıköy,Suadiye,0,480000
3,10,5,3+1,160,Beylikdüzü,Marmara,65000,285000
1,10-20 arası,2,2+1,110,Başakşehir,Başakşehir,515000,515000
1,10-20 arası,2,2+1,80,Başakşehir,Başakşehir,115000,175000
0,10,10,4+1,145,Kadıköy,Kozyatağı,590000,590000
0,10-20 arası,10,3+1,88,Kadıköy,Bostancı,205000,235000
2,10-20 arası,2,3+1,170,Beylikdüzü,Adnan Kahveci,0,385000
6-10 arası,10-20 arası,2,3+1,120,Başakşehir,Başak,180000,270000
0,10-20 arası,2,4+1,151,Başakşehir,Başakşehir,1035000,1035000
2,5,1,2+1,100,Beylikdüzü,Adnan Kahveci,0,145000
4,10-20 arası,2,2+1,90,Esenyurt,Güzelyurt,125000,130000
0,10-20 arası,10,3+1,105,Kadıköy,Erenköy,0,640000
3,10-20 arası,2,3+1,135,Bağcılar,Bağlar,810000,810000
3,10,9,4+1,200,Pendik,Harmandere,0,600000
1,20 ve üzeri,11,4+1,150,Başakşehir,Başakşehir,230000,330000
0,20 ve üzeri,10,3+1,97,Kadıköy,Suadiye,600000,750000
0,10,9,3+1,95,Kadıköy,Suadiye,495000,620000
6-10 arası,10,2,4+1,146,Ataşehir,Atatürk,285000,355000
6-10 arası,10-20 arası,11,4+1,145,Kadıköy,Bostancı,525000,655000
1,10-20 arası,10,2+1,119,Küçükçekmece,Tevfik Bey,295000,370000
4,10,2,3+1,125,Kartal,Orta,470000,590000
2,10-20 arası,10,2+1,91,Esenyurt,Zafer,0,110000
0,10-20 arası,9,4+1,192,Başakşehir,Kayabaşı,970000,970000
5,10-20 arası,13,2+1,110,Pendik,Çamçeşme,0,165000
0,8,7,3+1,95,Pendik,Sapan Bağları,380000,475000
4,20 ve üzeri,4,2+1,123,Başakşehir,Ziya Gökalp,130000,180000
1,10-20 arası,4,2+1,100,Pendik,Yeni,0,500000
0,10-20 arası,10,4+1,145,Kadıköy,Göztepe,670000,1650000
0,9,4,4+1,175,Pendik,Kurtköy,225000,820000
2,10-20 arası,4,4+1,180,Başakşehir,Başakşehir,0,530000
0,9,4,3+1,110,Pendik,Kurtköy,425000,770000
0,10,2,3+1,182,Başakşehir,Başakşehir,385000,950000
0,10-20 arası,10,3+1,88,Kadıköy,Bostancı,200000,235000
0,8,7,3+1,160,Silivri,Yeni,0,210000
1,20 ve üzeri,9,3+1,150,Başakşehir,Kayabaşı,235000,295000
6-10 arası,10,2,3+1,135,Ümraniye,Esenevler,430000,540000
6-10 arası,20 ve üzeri,9,3+1,160,Küçükçekmece,Atakent,255000,320000
1,20 ve üzeri,10,3+1,180,Başakşehir,Kayabaşı,395000,495000
0,9,4,4+1,175,Pendik,Kurtköy,0,355000
4,10-20 arası,11,2+1,90,Kadıköy,Zühtüpaşa,0,430000
0,9,4,3+1,110,Pendik,Kurtköy,110000,770000
0,20 ve üzeri,11,3+1,145,Başakşehir,Kayabaşı,410000,510000
0,10-20 arası,10,3+1,88,Kadıköy,Bostancı,0,260000
1,10-20 arası,11,4+2,180,Kadıköy,Sahrayı Cedit,0,460000
0,10-20 arası,11,3+1,120,Kadıköy,Erenköy,755000,975000
0,10-20 arası,4,3+1,90,Kadıköy,Suadiye,0,750000
0,10-20 arası,11,2+1,80,Kadıköy,Kozyatağı,70000,215000
2,10,2,2+1,100,Ataşehir,Yenişehir,0,235000
0,10-20 arası,9,3+1,95,Kadıköy,Erenköy,0,410000
1,10,10,5+1,200,Kadıköy,Kozyatağı,745000,930000
4,20 ve üzeri,10,4+1,160,Başakşehir,Başakşehir,105000,275000
0,20 ve üzeri,9,3+1,140,Başakşehir,Kayabaşı,0,375000
1,10-20 arası,11,3+1,135,Kartal,Çavuşoğlu,150000,380000
1,10-20 arası,10,2+1,119,Küçükçekmece,Tevfik Bey,0,245000
0,10,10,3+1,110,Pendik,Kaynarca,0,230000
2,20 ve üzeri,9,1+1,86,Sarıyer,Maslak,480000,600000
0,9,2,3+1,150,Bakırköy,Kartaltepe,0,885000
6-10 arası,10-20 arası,7,4+1,127,Başakşehir,Başakşehir,385000,480000
0,10-20 arası,4,2+1,100,Başakşehir,Bahçeşehir 2. Kısım,0,140000
1,9,2,3+1,95,Maltepe,Bağlarbaşı,525000,525000
0,10-20 arası,4,2+1,102,Sancaktepe,Osmangazi,115000,115000
1,10-20 arası,11,3+1,130,Başakşehir,Bahçeşehir 2. Kısım,255000,545000
0,20 ve üzeri,10,4+1,134,Başakşehir,Kayabaşı,350000,440000
0,20 ve üzeri,10,3+1,120,Başakşehir,Başakşehir,495000,620000
6-10 arası,7,4,2+1,90,Kadıköy,Göztepe,0,310000
0,10-20 arası,11,3+1,84,Kadıköy,Caddebostan,0,505000
1,10-20 arası,10,3+1,105,Küçükçekmece,Atakent,0,400000
0,9,2,3+1,200,Bakırköy,Kartaltepe,0,800000
0,10-20 arası,4,4+1,169,Başakşehir,Kayabaşı,145000,455000
0,20 ve üzeri,4,3+1,128,Avcılar,Yeşilkent,740000,740000
0,9,9,4+1,200,Kadıköy,Erenköy,825000,1200000
0,10-20 arası,10,3+1,88,Kadıköy,Bostancı,0,290000
6-10 arası,10,10,2+1,85,Eyüpsultan,Karadolap,260000,260000
0,10-20 arası,10,3+1,88,Kadıköy,Bostancı,430000,540000
1,20 ve üzeri,11,3+1,135,Başakşehir,Kayabaşı,0,380000
0,7,4,3+1,115,Kartal,Hürriyet,230000,290000
0,10-20 arası,4,2+1,100,Başakşehir,Bahçeşehir 2. Kısım,0,140000
0,10-20 arası,4,3+1,105,Kadıköy,Suadiye,135000,380000
2,10-20 arası,9,3+1,160,Esenyurt,Zafer,385000,480000
0,10-20 arası,8,3+1,90,Kadıköy,Bostancı,330000,425000
0,9,2,3+1,200,Bakırköy,Kartaltepe,0,920000
2,9,2,4+1,170,Başakşehir,Başakşehir,100000,290000
4,20 ve üzeri,4,2+1,111,Başakşehir,Ziya Gökalp,15000,185000
2,10-20 arası,9,3+1,160,Esenyurt,Zafer,175000,220000
0,9,2,3+1,95,Maltepe,Bağlarbaşı,0,215000
