building_age,total_floor_count,floor_no,room_count,size,District,Neighboorhood,mortgage,value
6-10 arası,5,Bahçe katı,2+1,100,Sancaktepe,Fatih,0,185000
0,3,3,3+1,135,Kadıköy,Acıbadem,485000,1220000
0,3,3,4+1,170,Bağcılar,Kirazlı,175000,175000
0,5,Kot 4,3+1,145,Güngören,Haznedar,0,255000
6-10 arası,6,1,2+1,85,Eyüpsultan,Merkez,0,105000
0,3,1,2+1,110,Küçükçekmece,Sultan Murat,0,145000
26-30 arası,3,2,2+1,85,Fatih,Koca Mustafapaşa,70000,100000
2,4,Kot 3,2+2,130,Küçükçekmece,Gültepe,0,335000
1,5,2,3+1,140,Beylikdüzü,Beylikdüzü OSB,185000,185000
21-25 arası,4,4,4+1,180,Bakırköy,Kartaltepe,340000,425000
26-30 arası,3,1,3+1,130,Güngören,Abdurrahman Nafiz Gürman,130000,230000
0,2,Yüksek Giriş,3+1,150,Bahçelievler,Kocasinan Merkez,165000,205000
26-30 arası,3,Giriş Katı,1+1,115,Beyoğlu,Kılıçali Paşa,0,295000
11-15 arası,4,3,3+1,100,Ümraniye,Altınşehir,245000,305000
1,4,1,3+1,140,Beylikdüzü,Gürpınar,285000,285000
16-20 arası,6,Yüksek Giriş,3+1,145,Büyükçekmece,Mimaroba,0,140000
0,4,4,4+2,160,Küçükçekmece,Söğütlü Çeşme,0,215000
11-15 arası,7,6,3+1,135,Beykoz,Kavacık,180000,225000
36-40 arası,6,5,4+1,150,Kadıköy,Hasanpaşa,60000,1250000
2,5,1,2+1,90,Kağıthane,Çağlayan,0,340000
0,5,Kot 2,2+1,125,Esenyurt,Talatpaşa,90000,105000
0,3,3,4+1,160,Bağcılar,Kirazlı,0,185000
26-30 arası,4,3,3+1,110,Fatih,Mevlanakapı,0,165000
3,4,4,3+2,180,Avcılar,Merkez,460000,460000
0,5,Bahçe katı,3+1,100,Bayrampaşa,İsmet Paşa,0,175000
26-30 arası,4,3,3+1,120,Fatih,Silivrikapı,195000,245000
31-35 arası,8,5,3+1,110,Kadıköy,Zühtüpaşa,460000,575000
11-15 arası,9,Giriş Katı,3+1,145,Başakşehir,Başak,0,245000
11-15 arası,9,Giriş Katı,3+1,145,Başakşehir,Başak,320000,400000
2,3,Çatı Katı,4+1,105,Eyüpsultan,Düğmeciler,0,215000
11-15 arası,8,5,3+1,135,Ümraniye,Necip Fazıl,150000,450000
2,6,Kot 2,3+1,140,Beylikdüzü,Yakuplu,0,120000
2,5,Yüksek Giriş,4+1,170,Beylikdüzü,Barış,155000,195000
6-10 arası,6,Kot 4,3+1,120,Pendik,Kaynarca,125000,125000
0,6,3,3+1,110,Pendik,Çamçeşme,0,190000
2,5,Yüksek Giriş,4+1,160,Beylikdüzü,Kavaklı,105000,135000
2,5,Yüksek Giriş,4+1,160,Beylikdüzü,Adnan Kahveci,35000,130000
16-20 arası,4,Çatı Katı,4+1,190,Sarıyer,Darüşşafaka,945000,1180000
0,4,4,2+1,90,Ümraniye,İstiklal,310000,390000
6-10 arası,4,4,3+1,160,Beylikdüzü,Gürpınar,120000,130000
21-25 arası,5,Kot 2,2+1,96,Bahçelievler,Fevzi Çakmak,130000,130000
6-10 arası,10-20 arası,16,3+1,147,Ümraniye,Tatlısu,0,285000
0,5,2,2+1,110,Pendik,Ahmet Yesevi,0,155000
21-25 arası,5,1,3+1,125,Zeytinburnu,Gökalp,580000,725000
1,10-20 arası,6,2+1,95,Bağcılar,Güneşli,290000,360000
2,5,Yüksek Giriş,4+1,170,Beylikdüzü,Barış,0,330000
0,3,3,4+1,160,Bağcılar,15 Temmuz,325000,325000
31-35 arası,10,5,3+1,125,Fatih,Silivrikapı,0,240000
4,4,2,3+1,147,Çekmeköy,Merkez,0,675000
0,5,4,4+1,130,Ümraniye,Atatürk,155000,160000
26-30 arası,5,3,2+1,82,Kadıköy,Göztepe,0,195000
31-35 arası,3,1,2+1,120,Fatih,Silivrikapı,0,155000
0,5,2,2+1,100,Esenyurt,Zafer,290000,290000
0,5,2,2+1,112,Pendik,Ahmet Yesevi,265000,330000
5,3,Çatı Katı,3+2,145,Eyüpsultan,Merkez,195000,245000
0,10-20 arası,4,3+1,120,Bağcılar,Mahmutbey,395000,465000
0,6,5,3+1,110,Beylikdüzü,Cumhuriyet,0,125000
40 ve üzeri,5,4,4+1,160,Şişli,Merkez,725000,725000
0,10-20 arası,6,2+1,100,Esenyurt,Güzelyurt,40000,100000
0,10-20 arası,4,3+1,120,Bağcılar,Mahmutbey,360000,450000
0,4,Kot 4,4+1,140,Sancaktepe,Osmangazi,175000,175000
0,5,Çatı Katı,2+2,130,Beyoğlu,Halıcıoğlu,185000,750000
0,4,2,2+1,90,Bahçelievler,Kocasinan Merkez,0,155000
40 ve üzeri,5,4,4+1,160,Şişli,Merkez,185000,900000
0,10-20 arası,5,2+1,80,Başakşehir,Bahçeşehir 2. Kısım,250000,310000
16-20 arası,5,Zemin Kat,2+1,80,Fatih,Yavuz Sultan Selim,80000,100000
16-20 arası,4,Kot 4,5+2,180,Küçükçekmece,Yeni Mahalle,0,550000
26-30 arası,2,Bahçe katı,2+1,80,Beşiktaş,Abbasağa,200000,200000
6-10 arası,4,Kot 2,3+1,120,Pendik,Dumlupınar,0,140000
0,5,2,3+1,145,Beylikdüzü,Adnan Kahveci,55000,160000
26-30 arası,5,3,2+1,85,Beşiktaş,Akat,40000,320000
31-35 arası,3,3,3+1,90,Zeytinburnu,Gökalp,45000,105000
1,4,1,3+1,140,Beylikdüzü,Gürpınar,275000,335000
21-25 arası,7,6,3+1,148,Büyükçekmece,Sinanoba,0,215000
0,3,3,4+2,183,Bağcılar,Hürriyet,230000,540000
0,5,2,3+1,140,Beylikdüzü,Dereağzı,0,170000
4,10,2,2+1,95,Esenyurt,Turgut Özal,85000,345000
0,10,1,3+1,135,Çekmeköy,Güngören,0,225000
11-15 arası,5,4,3+1,140,Bağcılar,Kirazlı,155000,380000
0,10-20 arası,7,3+1,130,Bağcılar,Hürriyet,0,215000
6-10 arası,4,2,3+1,110,Pendik,Kurtköy,0,100000
0,10,2,3+1,145,Çekmeköy,Sultançiftliği,120000,170000
0,5,2,2+1,90,Esenyurt,Güzelyurt,0,105000
6-10 arası,4,4,5+2,125,Bahçelievler,Siyavuşpaşa,240000,240000
4,6,5,3+1,165,Beylikdüzü,Adnan Kahveci,355000,380000
16-20 arası,7,1,3+1,110,Pendik,Doğu,205000,255000
6-10 arası,3,3,3+1,120,Adalar,Maden,0,205000
26-30 arası,5,Kot 1,3+1,110,Avcılar,Denizköşkler,0,125000
0,3,3,3+1,135,Kadıköy,Acıbadem,780000,975000
0,10-20 arası,8,2+1,80,Bağcılar,Güneşli,0,450000
0,5,2,3+1,130,Beylikdüzü,Yakuplu,0,135000
0,5,3,2+1,80,Ümraniye,Namık Kemal,0,140000
0,4,4,2+2,100,Çatalca,Ferhatpaşa,0,145000
31-35 arası,9,5,3+1,115,Kadıköy,Zühtüpaşa,0,240000
11-15 arası,8,1,3+1,140,Beylikdüzü,Sahil,0,120000
0,10-20 arası,8,2+1,80,Bağcılar,Güneşli,405000,405000
0,10,2,3+1,125,Pendik,Esenler,90000,125000
6-10 arası,5,3,3+1,90,Kartal,Orta,125000,155000
0,5,2,2+1,100,Beyoğlu,Halıcıoğlu,420000,600000
31-35 arası,4,3,2+1,90,Bakırköy,Kartaltepe,0,245000
26-30 arası,4,Yüksek Giriş,2+1,90,Kadıköy,Göztepe,650000,650000
6-10 arası,10,6,3+1,115,Ataşehir,Küçükbakkalköy,70000,195000
16-20 arası,4,4,2+1,90,Fatih,Silivrikapı,0,135000
1,5,Yüksek Giriş,2+1,80,Tuzla,İstasyon,115000,145000
6-10 arası,3,3,4+1,150,Bağcılar,Güneşli,90000,120000
26-30 arası,8,5,3+1,145,Şişli,Fulya,0,490000
11-15 arası,4,1,3+1,110,Avcılar,Üniversite,0,150000
0,3,3,4+1,170,Bağcılar,Kirazlı,0,185000
16-20 arası,10-20 arası,7,3+1,120,Beylikdüzü,Cumhuriyet,0,130000
0,10-20 arası,2,2+1,115,Beylikdüzü,Kavaklı,165000,205000
0,4,3,3+1,125,Üsküdar,Küçüksu,0,550000
0,5,2,2+1,90,Çekmeköy,Çatalmeşe,65000,100000
36-40 arası,4,1,3+1,110,Kadıköy,Eğitim,0,220000
6-10 arası,5,2,3+1,150,Avcılar,Denizköşkler,275000,275000
21-25 arası,10,Yüksek Giriş,3+1,130,Beylikdüzü,Adnan Kahveci,0,280000
6-10 arası,4,3,3+2,160,Çekmeköy,Mehmet Akif,265000,265000
31-35 arası,5,2,3+1,105,Güngören,Abdurrahman Nafiz Gürman,0,245000
31-35 arası,4,4,2+1,80,Fatih,Silivrikapı,185000,230000
6-10 arası,10-20 arası,Bahçe katı,3+1,150,Başakşehir,Bahçeşehir 2. Kısım,170000,210000
11-15 arası,5,Kot 3,2+1,80,Beyoğlu,Halıcıoğlu,200000,250000
0,4,Kot 1,2+1,95,Eyüpsultan,Nişancı,0,205000
6-10 arası,5,Giriş Katı,3+1,130,Silivri,Yeni,0,125000
26-30 arası,5,2,3+1,110,Şişli,Eskişehir,0,270000
21-25 arası,5,Yüksek Giriş,3+1,124,Beşiktaş,Ulus,1345000,1680000
0,4,Kot 3,2+1,89,Küçükçekmece,Yeşilova,350000,440000
